Category,Question,Response,Age,Gender,RaceEthnicity,RiskFactor,RiskFactorResponse,Sample_Size
Measured Visual Acuity,Best-corrected visual acuity,US-defined blindness,12-17 years,Female,"Hispanic, any race",Diabetes,No,397
Measured Visual Acuity,Presenting visual acuity,Presenting with normal vision,18-39 years,All genders,"Black, non-Hispanic",Diabetes,No,841
Measured Visual Acuity,Best-corrected visual acuity,Normal vision,18-39 years,Female,"White, non-Hispanic",Hypertension,Yes,149
Measured Visual Acuity,Best-corrected visual acuity,US-defined blindness,65-79 years,Female,All races,All participants,Total,1868
Blind or Difficulty Seeing,Percentage of people blind in both eyes,Yes,40-64 years,All genders,"White, non-Hispanic",Smoking,Yes,1078
Measured Visual Acuity,Best-corrected visual acuity,Normal vision,12-17 years,All genders,All races,Hypertension,No,7325
Measured Visual Acuity,Presenting visual acuity,Presenting with any vision loss,40-64 years,Male,Other,Hypertension,Yes,61
Measured Visual Acuity,Presenting visual acuity,Presenting with any vision loss,18-39 years,Male,"Hispanic, any race",Hypertension,No,1439
Measured Visual Acuity,Presenting visual acuity,Presenting with normal vision,40-64 years,Male,Other,Smoking,Yes,92
Measured Visual Acuity,Uncorrected Refractive Error (URE),Uncorrected refractive error (URE),18-39 years,Male,All races,Smoking,Yes,1722
Measured Visual Acuity,Best-corrected visual acuity,US-defined blindness,18-39 years,Female,"Black, non-Hispanic",Smoking,Yes,231
Measured Visual Acuity,Presenting visual acuity,Presenting with normal vision,40-64 years,Male,"Black, non-Hispanic",Diabetes,Yes,188
Measured Visual Acuity,Presenting visual acuity,Presenting with visual impairment,80 years and older,Male,"Hispanic, any race",Smoking,Yes,50
Measured Visual Acuity,Presenting visual acuity,Presenting with monocular vision loss,40-64 years,All genders,"Hispanic, any race",Hypertension,No,1640
Blind or Difficulty Seeing,Percentage of people blind in both eyes,Yes,18-39 years,Female,"White, non-Hispanic",Diabetes,No,816
Measured Visual Acuity,Best-corrected visual acuity,Any vision loss,40-64 years,All genders,"Hispanic, any race",Diabetes,Yes,450
Measured Visual Acuity,Presenting visual acuity,Presenting with normal vision,18-39 years,All genders,"Hispanic, any race",Hypertension,Yes,242
Measured Visual Acuity,Presenting visual acuity,Presenting with visual impairment,40-64 years,Female,"Hispanic, any race",Diabetes,Yes,235
Measured Visual Acuity,Presenting visual acuity,Presenting with monocular vision loss,65-79 years,Female,All races,All participants,Total,2183
Measured Visual Acuity,Best-corrected visual acuity,US-defined blindness,65-79 years,Male,"Hispanic, any race",Hypertension,Yes,248
Measured Visual Acuity,Presenting visual acuity,Presenting with US-defined blindness,12-17 years,Male,Other,Diabetes,No,54
Measured Visual Acuity,Uncorrected Refractive Error (URE),Uncorrected refractive error (URE),40-64 years,All genders,"Black, non-Hispanic",Diabetes,Yes,393
Measured Visual Acuity,Presenting visual acuity,Presenting with normal vision,65-79 years,All genders,"Hispanic, any race",Smoking,No,468
Measured Visual Acuity,Best-corrected visual acuity,Any vision loss,80 years and older,All genders,"Hispanic, any race",Hypertension,Yes,96
Measured Visual Acuity,Best-corrected visual acuity,US-defined blindness,18-39 years,All genders,"Black, non-Hispanic",Diabetes,No,833
Measured Visual Acuity,Presenting visual acuity,Presenting with monocular vision loss,40-64 years,Male,"Hispanic, any race",Smoking,Yes,748
Measured Visual Acuity,Presenting visual acuity,Presenting with any vision loss,40-64 years,All genders,All races,Diabetes,No,3093
Measured Visual Acuity,Presenting visual acuity,Presenting with normal vision,65-79 years,All genders,Other,Smoking,No,47
Measured Visual Acuity,Presenting visual acuity,Presenting with any vision loss,18-39 years,Male,"Hispanic, any race",Smoking,Yes,527
Measured Visual Acuity,Best-corrected visual acuity,Monocular vision loss,12-17 years,All genders,Other,Diabetes,No,105
Blind or Difficulty Seeing,Percentage of people blind in both eyes,Yes,40-64 years,Male,"Hispanic, any race",Smoking,Yes,306
Measured Visual Acuity,Presenting visual acuity,Presenting with normal vision,65-79 years,Female,All races,All participants,Total,1967
Measured Visual Acuity,Presenting visual acuity,Presenting with US-defined blindness,65-79 years,Male,"Hispanic, any race",Hypertension,No,180
Measured Visual Acuity,Presenting visual acuity,Presenting with any vision loss,18-39 years,Male,"White, non-Hispanic",Smoking,Yes,863
Measured Visual Acuity,Best-corrected visual acuity,Monocular vision loss,18-39 years,All genders,Other,All participants,Total,525
Measured Visual Acuity,Presenting visual acuity,Presenting with US-defined blindness,12-17 years,All genders,"White, non-Hispanic",Hypertension,No,1937
Measured Visual Acuity,Presenting visual acuity,Presenting with visual impairment,40-64 years,Male,All races,Diabetes,No,1513
Measured Visual Acuity,Best-corrected visual acuity,Any vision loss,40-64 years,Male,"Hispanic, any race",Smoking,No,451
Measured Visual Acuity,Best-corrected visual acuity,Monocular vision loss,80 years and older,Male,"White, non-Hispanic",Hypertension,Yes,476
Measured Visual Acuity,Best-corrected visual acuity,Any vision loss,12-17 years,All genders,All races,Hypertension,No,7325
Measured Visual Acuity,Presenting visual acuity,Presenting with monocular vision loss,80 years and older,Female,"Hispanic, any race",Smoking,Yes,34
Measured Visual Acuity,Best-corrected visual acuity,Normal vision,40-64 years,Male,"White, non-Hispanic",Smoking,Yes,1333
Measured Visual Acuity,Presenting visual acuity,Presenting with US-defined blindness,65-79 years,All genders,Other,All participants,Total,90
Measured Visual Acuity,Presenting visual acuity,Presenting with monocular vision loss,18-39 years,Male,All races,Diabetes,No,1905
Measured Visual Acuity,Best-corrected visual acuity,Any vision loss,65-79 years,All genders,"Black, non-Hispanic",Smoking,Yes,368
Measured Visual Acuity,Best-corrected visual acuity,Normal vision,65-79 years,All genders,"Hispanic, any race",Diabetes,Yes,251
Measured Visual Acuity,Presenting visual acuity,Presenting with visual impairment,65-79 years,Male,"Hispanic, any race",Smoking,Yes,305
Measured Visual Acuity,Presenting visual acuity,Presenting with visual impairment,80 years and older,Female,"Hispanic, any race",Smoking,No,54
Measured Visual Acuity,Best-corrected visual acuity,Visual impairment,18-39 years,Male,"White, non-Hispanic",Smoking,No,717
Measured Visual Acuity,Best-corrected visual acuity,Any vision loss,18-39 years,All genders,"White, non-Hispanic",Hypertension,Yes,365
Measured Visual Acuity,Uncorrected Refractive Error (URE),Uncorrected refractive error (URE),40-64 years,All genders,All races,Smoking,Yes,4587
Measured Visual Acuity,Best-corrected visual acuity,Normal vision,18-39 years,Male,"Hispanic, any race",Diabetes,No,566
Measured Visual Acuity,Presenting visual acuity,Presenting with monocular vision loss,80 years and older,Female,"White, non-Hispanic",Smoking,Yes,250
Measured Visual Acuity,Presenting visual acuity,Presenting with normal vision,40-64 years,Female,"White, non-Hispanic",Diabetes,Yes,190
Measured Visual Acuity,Presenting visual acuity,Presenting with normal vision,18-39 years,Female,All races,Hypertension,No,5175
Measured Visual Acuity,Presenting visual acuity,Presenting with any vision loss,80 years and older,Female,"Hispanic, any race",Smoking,No,54
Measured Visual Acuity,Presenting visual acuity,Presenting with normal vision,65-79 years,Female,"Hispanic, any race",Hypertension,No,128
Measured Visual Acuity,Best-corrected visual acuity,US-defined blindness,80 years and older,Female,All races,Smoking,Yes,224
Measured Visual Acuity,Best-corrected visual acuity,US-defined blindness,12-17 years,All genders,"Hispanic, any race",All participants,Total,2880
Measured Visual Acuity,Presenting visual acuity,Presenting with US-defined blindness,80 years and older,Male,All races,Smoking,No,291
Measured Visual Acuity,Best-corrected visual acuity,Monocular vision loss,80 years and older,All genders,"White, non-Hispanic",Smoking,No,791
Measured Visual Acuity,Best-corrected visual acuity,Any vision loss,40-64 years,Female,"Hispanic, any race",All participants,Total,1197
Measured Visual Acuity,Best-corrected visual acuity,Monocular vision loss,12-17 years,Male,"Black, non-Hispanic",Hypertension,Yes,66
Measured Visual Acuity,Best-corrected visual acuity,Visual impairment,80 years and older,Male,"White, non-Hispanic",Hypertension,No,187
Measured Visual Acuity,Best-corrected visual acuity,Normal vision,65-79 years,Male,"White, non-Hispanic",Smoking,No,349
Blind or Difficulty Seeing,Percentage of people blind in both eyes,Yes,65-79 years,Male,All races,Diabetes,No,618
Measured Visual Acuity,Best-corrected visual acuity,Monocular vision loss,18-39 years,Male,All races,Hypertension,No,4534
Measured Visual Acuity,Presenting visual acuity,Presenting with monocular vision loss,18-39 years,All genders,"Hispanic, any race",Hypertension,Yes,313
Measured Visual Acuity,Presenting visual acuity,Presenting with normal vision,80 years and older,All genders,All races,Hypertension,No,394
Blind or Difficulty Seeing,Percentage of people blind in both eyes,Yes,65-79 years,All genders,"White, non-Hispanic",Diabetes,No,791
Measured Visual Acuity,Best-corrected visual acuity,US-defined blindness,65-79 years,All genders,"Black, non-Hispanic",Hypertension,No,129
Measured Visual Acuity,Best-corrected visual acuity,Any vision loss,80 years and older,Female,"White, non-Hispanic",All participants,Total,574
Blind or Difficulty Seeing,Percentage of people blind in both eyes,Yes,18-39 years,Female,"White, non-Hispanic",All participants,Total,895
Measured Visual Acuity,Presenting visual acuity,Presenting with normal vision,40-64 years,All genders,"Black, non-Hispanic",Diabetes,Yes,416
Measured Visual Acuity,Best-corrected visual acuity,Normal vision,65-79 years,Male,"Hispanic, any race",Smoking,Yes,281
Measured Visual Acuity,Uncorrected Refractive Error (URE),Uncorrected refractive error (URE),65-79 years,All genders,Other,Hypertension,Yes,47
Measured Visual Acuity,Presenting visual acuity,Presenting with monocular vision loss,18-39 years,All genders,"Hispanic, any race",Smoking,Yes,908
Measured Visual Acuity,Best-corrected visual acuity,Any vision loss,65-79 years,All genders,"Black, non-Hispanic",Diabetes,No,176
Measured Visual Acuity,Best-corrected visual acuity,Normal vision,80 years and older,All genders,"Hispanic, any race",Hypertension,Yes,96
Measured Visual Acuity,Best-corrected visual acuity,Monocular vision loss,12-17 years,Female,"Hispanic, any race",Diabetes,No,416
Blind or Difficulty Seeing,Percentage of people blind in both eyes,Yes,65-79 years,All genders,"Black, non-Hispanic",Smoking,Yes,215
Measured Visual Acuity,Uncorrected Refractive Error (URE),Uncorrected refractive error (URE),80 years and older,Female,"White, non-Hispanic",Smoking,No,364
Measured Visual Acuity,Presenting visual acuity,Presenting with normal vision,18-39 years,Male,"White, non-Hispanic",Smoking,No,719
Measured Visual Acuity,Best-corrected visual acuity,Visual impairment,40-64 years,All genders,"Hispanic, any race",All participants,Total,2331
Measured Visual Acuity,Presenting visual acuity,Presenting with normal vision,18-39 years,Male,All races,All participants,Total,4878
Measured Visual Acuity,Presenting visual acuity,Presenting with monocular vision loss,65-79 years,Female,Other,Smoking,No,41
Measured Visual Acuity,Presenting visual acuity,Presenting with US-defined blindness,18-39 years,Male,Other,Hypertension,No,211
Measured Visual Acuity,Presenting visual acuity,Presenting with US-defined blindness,18-39 years,All genders,"Black, non-Hispanic",Hypertension,Yes,315
Measured Visual Acuity,Presenting visual acuity,Presenting with monocular vision loss,40-64 years,Female,"Hispanic, any race",Hypertension,No,826
Measured Visual Acuity,Best-corrected visual acuity,Any vision loss,12-17 years,All genders,"White, non-Hispanic",All participants,Total,2003
Measured Visual Acuity,Presenting visual acuity,Presenting with monocular vision loss,80 years and older,Female,All races,Diabetes,Yes,199
Measured Visual Acuity,Presenting visual acuity,Presenting with normal vision,40-64 years,Male,"White, non-Hispanic",Smoking,Yes,1344
Measured Visual Acuity,Best-corrected visual acuity,Any vision loss,18-39 years,Male,All races,All participants,Total,4853
Measured Visual Acuity,Best-corrected visual acuity,Visual impairment,65-79 years,Male,All races,Hypertension,No,725
Measured Visual Acuity,Presenting visual acuity,Presenting with visual impairment,65-79 years,Female,All races,All participants,Total,1967
Measured Visual Acuity,Presenting visual acuity,Presenting with monocular vision loss,12-17 years,Female,All races,Diabetes,No,1108
Measured Visual Acuity,Presenting visual acuity,Presenting with monocular vision loss,12-17 years,All genders,All races,Diabetes,Yes,62
Measured Visual Acuity,Presenting visual acuity,Presenting with normal vision,65-79 years,Female,"Black, non-Hispanic",Hypertension,No,55
Measured Visual Acuity,Best-corrected visual acuity,Monocular vision loss,65-79 years,All genders,All races,Smoking,Yes,2445
Measured Visual Acuity,Uncorrected Refractive Error (URE),Uncorrected refractive error (URE),18-39 years,Female,Other,Hypertension,No,228
Measured Visual Acuity,Presenting visual acuity,Presenting with monocular vision loss,65-79 years,Male,"Black, non-Hispanic",Diabetes,No,106
Measured Visual Acuity,Presenting visual acuity,Presenting with US-defined blindness,80 years and older,All genders,"Hispanic, any race",Smoking,No,77
Measured Visual Acuity,Presenting visual acuity,Presenting with US-defined blindness,40-64 years,All genders,"Black, non-Hispanic",Diabetes,No,632
Measured Visual Acuity,Presenting visual acuity,Presenting with normal vision,40-64 years,Female,Other,Smoking,Yes,66
Measured Visual Acuity,Best-corrected visual acuity,Monocular vision loss,18-39 years,Male,"White, non-Hispanic",Smoking,Yes,909
Measured Visual Acuity,Uncorrected Refractive Error (URE),Uncorrected refractive error (URE),18-39 years,Male,"Hispanic, any race",Diabetes,No,552
Measured Visual Acuity,Uncorrected Refractive Error (URE),Uncorrected refractive error (URE),40-64 years,All genders,"Hispanic, any race",Diabetes,Yes,436
Measured Visual Acuity,Uncorrected Refractive Error (URE),Uncorrected refractive error (URE),65-79 years,Male,"White, non-Hispanic",Hypertension,Yes,710
Measured Visual Acuity,Best-corrected visual acuity,Monocular vision loss,40-64 years,Female,"Black, non-Hispanic",All participants,Total,1122
Measured Visual Acuity,Best-corrected visual acuity,US-defined blindness,65-79 years,Female,All races,Smoking,Yes,744
Measured Visual Acuity,Presenting visual acuity,Presenting with any vision loss,65-79 years,All genders,"Black, non-Hispanic",All participants,Total,733
Measured Visual Acuity,Presenting visual acuity,Presenting with US-defined blindness,40-64 years,Female,"White, non-Hispanic",Smoking,No,1005
Measured Visual Acuity,Best-corrected visual acuity,US-defined blindness,40-64 years,Male,"Black, non-Hispanic",All participants,Total,929
Measured Visual Acuity,Best-corrected visual acuity,Monocular vision loss,40-64 years,Male,"White, non-Hispanic",Diabetes,Yes,260
Measured Visual Acuity,Presenting visual acuity,Presenting with monocular vision loss,18-39 years,Male,"White, non-Hispanic",Smoking,No,757
Blind or Difficulty Seeing,Percentage of people blind in both eyes,Yes,40-64 years,All genders,All races,Diabetes,Yes,783
Measured Visual Acuity,Best-corrected visual acuity,Visual impairment,65-79 years,All genders,"Black, non-Hispanic",Smoking,No,312
Blind or Difficulty Seeing,Percentage of people blind in both eyes,Yes,0-17 years,Male,"Black, non-Hispanic",All participants,Total,404
Measured Visual Acuity,Presenting visual acuity,Presenting with visual impairment,18-39 years,Female,"White, non-Hispanic",Smoking,No,1047
Measured Visual Acuity,Presenting visual acuity,Presenting with any vision loss,80 years and older,Female,"Hispanic, any race",Hypertension,Yes,69
Measured Visual Acuity,Uncorrected Refractive Error (URE),Uncorrected refractive error (URE),40-64 years,Male,"Hispanic, any race",Smoking,No,448
Blind or Difficulty Seeing,Percentage of people blind in both eyes,Yes,18-39 years,Male,"White, non-Hispanic",Hypertension,No,707
Measured Visual Acuity,Best-corrected visual acuity,Visual impairment,40-64 years,Male,"Hispanic, any race",Smoking,Yes,682
Measured Visual Acuity,Best-corrected visual acuity,Normal vision,18-39 years,Female,All races,Diabetes,No,1964
Measured Visual Acuity,Presenting visual acuity,Presenting with US-defined blindness,80 years and older,All genders,"White, non-Hispanic",Smoking,Yes,592
Measured Visual Acuity,Best-corrected visual acuity,US-defined blindness,40-64 years,Female,All races,Smoking,No,2479
Measured Visual Acuity,Best-corrected visual acuity,US-defined blindness,18-39 years,Female,Other,Smoking,Yes,53
Measured Visual Acuity,Presenting visual acuity,Presenting with visual impairment,40-64 years,Female,"White, non-Hispanic",Hypertension,No,1341
Measured Visual Acuity,Presenting visual acuity,Presenting with monocular vision loss,40-64 years,All genders,All races,Hypertension,Yes,3962
Measured Visual Acuity,Best-corrected visual acuity,Any vision loss,18-39 years,All genders,"Black, non-Hispanic",Smoking,No,1129
Measured Visual Acuity,Best-corrected visual acuity,Normal vision,40-64 years,Male,"Hispanic, any race",All participants,Total,1134
Measured Visual Acuity,Best-corrected visual acuity,Any vision loss,40-64 years,All genders,"White, non-Hispanic",Diabetes,Yes,421
Measured Visual Acuity,Best-corrected visual acuity,US-defined blindness,65-79 years,Female,"White, non-Hispanic",Hypertension,Yes,748
Measured Visual Acuity,Uncorrected Refractive Error (URE),Uncorrected refractive error (URE),18-39 years,Female,"Black, non-Hispanic",Smoking,Yes,226
Measured Visual Acuity,Best-corrected visual acuity,US-defined blindness,18-39 years,Male,"Black, non-Hispanic",Hypertension,Yes,168
Measured Visual Acuity,Presenting visual acuity,Presenting with normal vision,65-79 years,Male,All races,Hypertension,No,757
Measured Visual Acuity,Best-corrected visual acuity,US-defined blindness,65-79 years,Female,"Black, non-Hispanic",Diabetes,No,81
Measured Visual Acuity,Presenting visual acuity,Presenting with visual impairment,12-17 years,Female,"Hispanic, any race",Diabetes,No,399
Measured Visual Acuity,Best-corrected visual acuity,Normal vision,40-64 years,All genders,"White, non-Hispanic",Hypertension,No,2688
Blind or Difficulty Seeing,Percentage of people blind in both eyes,Yes,0-17 years,Male,Other,All participants,Total,63
Measured Visual Acuity,Best-corrected visual acuity,Visual impairment,65-79 years,Male,"Hispanic, any race",Diabetes,No,85
Measured Visual Acuity,Best-corrected visual acuity,Any vision loss,18-39 years,Female,"Black, non-Hispanic",Hypertension,No,1080
Measured Visual Acuity,Presenting visual acuity,Presenting with US-defined blindness,65-79 years,All genders,Other,Diabetes,Yes,31
Measured Visual Acuity,Presenting visual acuity,Presenting with monocular vision loss,80 years and older,All genders,"Black, non-Hispanic",All participants,Total,190
Measured Visual Acuity,Uncorrected Refractive Error (URE),Uncorrected refractive error (URE),65-79 years,Male,All races,All participants,Total,1939
Measured Visual Acuity,Uncorrected Refractive Error (URE),Uncorrected refractive error (URE),12-17 years,All genders,"White, non-Hispanic",Diabetes,No,612
Measured Visual Acuity,Presenting visual acuity,Presenting with normal vision,40-64 years,All genders,"Hispanic, any race",Smoking,Yes,1100
Measured Visual Acuity,Presenting visual acuity,Presenting with any vision loss,80 years and older,Female,All races,Hypertension,Yes,697
Measured Visual Acuity,Presenting visual acuity,Presenting with normal vision,65-79 years,Female,"White, non-Hispanic",Hypertension,Yes,778
Blind or Difficulty Seeing,Percentage of people blind in both eyes,Yes,40-64 years,Male,Other,Diabetes,No,73
Measured Visual Acuity,Presenting visual acuity,Presenting with any vision loss,12-17 years,All genders,"Black, non-Hispanic",Diabetes,No,638
Measured Visual Acuity,Presenting visual acuity,Presenting with monocular vision loss,80 years and older,Male,"White, non-Hispanic",Hypertension,No,235
Measured Visual Acuity,Best-corrected visual acuity,Normal vision,18-39 years,All genders,"Black, non-Hispanic",Smoking,No,1129
Measured Visual Acuity,Best-corrected visual acuity,Visual impairment,65-79 years,All genders,"Black, non-Hispanic",Diabetes,No,176
Measured Visual Acuity,Best-corrected visual acuity,US-defined blindness,80 years and older,Male,"White, non-Hispanic",All participants,Total,534
Measured Visual Acuity,Best-corrected visual acuity,Monocular vision loss,80 years and older,Male,All races,Hypertension,Yes,603
Measured Visual Acuity,Best-corrected visual acuity,Normal vision,40-64 years,All genders,Other,Smoking,No,180
Measured Visual Acuity,Best-corrected visual acuity,Monocular vision loss,12-17 years,All genders,"White, non-Hispanic",Diabetes,No,636
Measured Visual Acuity,Best-corrected visual acuity,Any vision loss,40-64 years,Female,"White, non-Hispanic",Diabetes,No,777
Measured Visual Acuity,Best-corrected visual acuity,Any vision loss,12-17 years,Female,"White, non-Hispanic",All participants,Total,1003
Measured Visual Acuity,Best-corrected visual acuity,Any vision loss,12-17 years,Female,Other,All participants,Total,162
Measured Visual Acuity,Presenting visual acuity,Presenting with visual impairment,40-64 years,Male,All races,Smoking,Yes,2718
Measured Visual Acuity,Presenting visual acuity,Presenting with visual impairment,65-79 years,Female,"Hispanic, any race",Smoking,Yes,140
Measured Visual Acuity,Best-corrected visual acuity,Monocular vision loss,80 years and older,All genders,"Hispanic, any race",Hypertension,Yes,167
Measured Visual Acuity,Uncorrected Refractive Error (URE),Uncorrected refractive error (URE),65-79 years,All genders,"Black, non-Hispanic",Diabetes,No,171
Measured Visual Acuity,Uncorrected Refractive Error (URE),Uncorrected refractive error (URE),40-64 years,Male,"Black, non-Hispanic",Diabetes,Yes,182
Measured Visual Acuity,Best-corrected visual acuity,Any vision loss,18-39 years,Male,"Hispanic, any race",All participants,Total,1561
Measured Visual Acuity,Presenting visual acuity,Presenting with visual impairment,40-64 years,Male,"White, non-Hispanic",Smoking,No,796
Measured Visual Acuity,Best-corrected visual acuity,Normal vision,12-17 years,Male,"Hispanic, any race",Hypertension,No,1414
Measured Visual Acuity,Uncorrected Refractive Error (URE),Uncorrected refractive error (URE),40-64 years,Female,"Hispanic, any race",Hypertension,Yes,425
Measured Visual Acuity,Best-corrected visual acuity,Normal vision,40-64 years,Female,"Hispanic, any race",Hypertension,No,762
Measured Visual Acuity,Presenting visual acuity,Presenting with any vision loss,40-64 years,Female,All races,All participants,Total,4514
Measured Visual Acuity,Best-corrected visual acuity,Visual impairment,40-64 years,Female,Other,Diabetes,Yes,31
Measured Visual Acuity,Best-corrected visual acuity,Normal vision,18-39 years,Female,"Hispanic, any race",All participants,Total,1830
Measured Visual Acuity,Presenting visual acuity,Presenting with US-defined blindness,65-79 years,Female,"Hispanic, any race",Diabetes,No,98
Measured Visual Acuity,Presenting visual acuity,Presenting with US-defined blindness,40-64 years,Female,"Hispanic, any race",Hypertension,Yes,446
Blind or Difficulty Seeing,Percentage of people blind in both eyes,Yes,18-39 years,All genders,"Black, non-Hispanic",Smoking,Yes,243
Blind or Difficulty Seeing,Percentage of people blind in both eyes,Yes,40-64 years,Female,Other,Hypertension,Yes,39
Measured Visual Acuity,Presenting visual acuity,Presenting with normal vision,65-79 years,All genders,All races,All participants,Total,4085
Measured Visual Acuity,Best-corrected visual acuity,Monocular vision loss,40-64 years,Female,Other,Hypertension,No,117
Measured Visual Acuity,Uncorrected Refractive Error (URE),Uncorrected refractive error (URE),18-39 years,All genders,All races,Hypertension,No,9322
Measured Visual Acuity,Best-corrected visual acuity,US-defined blindness,12-17 years,Male,Other,Hypertension,No,141
Measured Visual Acuity,Best-corrected visual acuity,US-defined blindness,40-64 years,All genders,All races,Hypertension,No,5249
Measured Visual Acuity,Best-corrected visual acuity,US-defined blindness,40-64 years,Male,"Hispanic, any race",Diabetes,Yes,222
Measured Visual Acuity,Presenting visual acuity,Presenting with monocular vision loss,65-79 years,All genders,"Hispanic, any race",Smoking,Yes,500
Measured Visual Acuity,Presenting visual acuity,Presenting with normal vision,18-39 years,Male,"White, non-Hispanic",All participants,Total,1919
Measured Visual Acuity,Uncorrected Refractive Error (URE),Uncorrected refractive error (URE),65-79 years,Female,All races,Hypertension,No,495
Measured Visual Acuity,Best-corrected visual acuity,US-defined blindness,18-39 years,Male,Other,All participants,Total,241
Measured Visual Acuity,Presenting visual acuity,Presenting with normal vision,40-64 years,Female,All races,Smoking,No,2512
Measured Visual Acuity,Presenting visual acuity,Presenting with US-defined blindness,18-39 years,All genders,"White, non-Hispanic",Hypertension,No,3820
Measured Visual Acuity,Presenting visual acuity,Presenting with any vision loss,40-64 years,Female,"Hispanic, any race",Diabetes,No,400
Measured Visual Acuity,Presenting visual acuity,Presenting with normal vision,18-39 years,Female,"Hispanic, any race",Hypertension,Yes,106
Measured Visual Acuity,Best-corrected visual acuity,Any vision loss,18-39 years,All genders,"Hispanic, any race",Hypertension,No,3150
Measured Visual Acuity,Presenting visual acuity,Presenting with visual impairment,65-79 years,All genders,"Hispanic, any race",Hypertension,No,308
Measured Visual Acuity,Uncorrected Refractive Error (URE),Uncorrected refractive error (URE),18-39 years,All genders,"Hispanic, any race",Hypertension,Yes,237
Measured Visual Acuity,Best-corrected visual acuity,Normal vision,65-79 years,Male,All races,Diabetes,No,555
Measured Visual Acuity,Uncorrected Refractive Error (URE),Uncorrected refractive error (URE),12-17 years,Female,"White, non-Hispanic",Hypertension,Yes,37
Measured Visual Acuity,Presenting visual acuity,Presenting with visual impairment,18-39 years,All genders,All races,Hypertension,Yes,976
Measured Visual Acuity,Presenting visual acuity,Presenting with US-defined blindness,18-39 years,Male,"Hispanic, any race",All participants,Total,1575
Measured Visual Acuity,Best-corrected visual acuity,Any vision loss,12-17 years,Male,"Hispanic, any race",Hypertension,No,1414
Measured Visual Acuity,Presenting visual acuity,Presenting with US-defined blindness,65-79 years,Male,All races,Diabetes,Yes,554
Measured Visual Acuity,Presenting visual acuity,Presenting with visual impairment,18-39 years,Female,All races,Smoking,No,2909
Measured Visual Acuity,Best-corrected visual acuity,Visual impairment,40-64 years,Female,"Black, non-Hispanic",Diabetes,Yes,220
Measured Visual Acuity,Best-corrected visual acuity,US-defined blindness,40-64 years,All genders,"Black, non-Hispanic",Smoking,Yes,1018
Measured Visual Acuity,Presenting visual acuity,Presenting with monocular vision loss,18-39 years,Female,Other,Hypertension,No,247
Measured Visual Acuity,Presenting visual acuity,Presenting with visual impairment,65-79 years,Male,All races,Diabetes,Yes,554
Measured Visual Acuity,Best-corrected visual acuity,US-defined blindness,65-79 years,Male,"Hispanic, any race",Diabetes,Yes,119
Measured Visual Acuity,Best-corrected visual acuity,Monocular vision loss,40-64 years,Female,All races,Diabetes,No,1673
Measured Visual Acuity,Presenting visual acuity,Presenting with monocular vision loss,18-39 years,Female,All races,Hypertension,Yes,555
Measured Visual Acuity,Uncorrected Refractive Error (URE),Uncorrected refractive error (URE),18-39 years,Female,"Hispanic, any race",Hypertension,Yes,103
